Company,Model,Total Units sold,Average Purchase Rate,ARPU Per Year,Q-Q Projected Growth %,Recent Quarter Sales,Next Quarter Revenue,YoY Forecasted Growth Rate,Units Sold Recent Quarter,Projected Units Sales for Next Quarter,Income Group of Potential Customers,Color
Dodge,Ram Van,25,1,60000.24,-40,$360002,$214287,-40.47632936,5,3,Low Income,Black
Audi,A6,65,1.031746032,24830.46032,-15,$252006,$213316,-24.86333408,8,7,High Income,Black
Dodge,Ram Van,26,1.083333333,65148.16667,-12,$241000,$213212,-40.77444444,2,2,High Income,Black
Mercury,Grand Marquis,1,1,71000,200,$71000,$213000,,1,3,Medium Income,Red
Acura,RL,64,1.032258065,27330.83871,-44,$375002,$211814,41.20839194,11,6,Low Income,Red
BMW,528i,65,1,25961.8,-36,$332001,$210940,-32.6081053,7,4,Low Income,Black
Mercedes-B,S-Class,36,1,46721.08333,-14,$245600,$210245,-48.75235525,4,3,High Income,Black
Chevrolet,Lumina,58,1,28758.81034,-35,$322004,$208501,595.0033333,10,6,Low Income,Black
Volvo,C70,69,1.061538462,24538.69231,-36,$327004,$208045,-40.21781296,9,6,Low Income,Black
Saab,Aero,1,1,69000,,,$207000,,,,Medium Income,Pale White
Volvo,C70,55,1,27530.41818,-14,$240053,$206478,-12.86230355,5,4,High Income,Black
Oldsmobile,Silhouette,84,1.012048193,19837.0241,-25,$275106,$205809,-24.34994523,13,10,High Income,Pale White
Mitsubishi,Galant,41,1.051282051,40205.38462,-54,$444004,$204523,-9.404885828,10,5,Low Income,Pale White
Pontiac,Sunfire,38,1.027027027,44162.40541,-5,$215001,$204251,-54.76198386,3,3,Low Income,Red
Nissan,Frontier,28,1,53018.03571,-58,$477502,$202433,-49.07371535,8,3,Low Income,Black
Lexus,LS400,27,1.038461538,53250.30769,-11,$221002,$197787,11.7440678,5,4,Medium Income,Black
Ford,Ranger,45,1.022727273,35954.84091,-28,$273851,$197752,-42.38901804,4,3,High Income,Black
Pontiac,Sunfire,35,1.060606061,45794.15152,-43,$345803,$197114,-42.78274954,5,3,High Income,Red
Acura,RL,69,1.045454545,23710.90909,-52,$409304,$195615,-41.25763877,14,7,Low Income,Pale White
Plymouth,Prowler,46,1.022222222,34251.37778,-53,$409700,$192664,-15.72114102,6,3,High Income,Pale White
Oldsmobile,Intrigue,37,1.027777778,42725.25,-25,$256651,$192264,-4.347220426,5,4,High Income,Pale White
Cadillac,Escalade,52,1.06122449,31275.71429,-5,$202001,$191564,-20.84132231,6,6,Low Income,Black
Pontiac,Grand Prix,38,1.027027027,39432.7027,-57,$440003,$190306,23.17381005,8,3,Low Income,Pale White
Honda,Accord,35,1.029411765,44406.14706,-37,$301203,$188726,-41.67058154,5,3,High Income,Black
Lincoln,Continental,33,1,45560.87879,-46,$347502,$187939,-1.085778044,4,2,Low Income,Pale White
Nissan,Frontier,78,1.012987013,19306.74026,-36,$290002,$185827,-27.41189522,8,5,Low Income,Pale White
Oldsmobile,Silhouette,60,1.016949153,23093.35593,-32,$273003,$185797,22.63747434,6,4,Low Income,Red
Toyota,Tacoma,3,1,82000.66667,12,$164002,$184502,,2,2,High Income,Red
Chevrolet,Cavalier,69,1,20391.55072,8,$170505,$183524,-20.89619144,5,5,Low Income,Pale White
Chevrolet,Prizm,58,1.054545455,26635.96364,-40,$304604,$183122,-12.17380878,11,7,High Income,Pale White
BMW,328i,56,1.037037037,27080.7963,-28,$254602,$182795,15.91092116,7,5,High Income,Black
Mercury,Cougar,47,1,31074.74468,3,$177001,$182564,-4.416753927,5,5,Low Income,Black
Mitsubishi,3000GT,65,1.031746032,21190.69841,-33,$273002,$182047,82.04335913,11,7,Low Income,Red
Honda,Civic,31,1.033333333,44483.53333,323,$43001,$181978,-47.17635072,1,4,Low Income,Black
Mercury,Sable,39,1.026315789,38239.71053,-59,$443504,$181639,1.701567749,9,4,High Income,Pale White
Toyota,RAV4,25,1.041666667,52937.75,-42,$311000,$181501,-54.05072873,4,2,Low Income,Black
Mercury,Sable,37,1,35919.2973,-49,$357002,$181229,74.2569783,5,3,Low Income,Pale White
Mitsubishi,Montero Sport,33,1,43706.33333,1,$178000,$180289,-62.58819184,4,4,High Income,Black
Chevrolet,Metro,92,1.057471264,16574.94253,-39,$294003,$180253,2.414149678,13,8,Low Income,Pale White
Nissan,Maxima,43,1.075,35909.075,41,$127501,$179545,-63.2724156,3,4,High Income,Pale White
Subaru,Forester,65,1.048387097,23089,-33,$265503,$178940,-37.43444148,9,6,Low Income,Black
Chevrolet,Malibu,29,1.035714286,50928.82143,-47,$336001,$178251,-46.94973869,3,2,Low Income,Red
Chrysler,LHS,61,1.016666667,23545.25,-20,$220853,$176589,-20.84831153,7,6,High Income,Pale White
Acura,RL,43,1.048780488,28548.95122,409,$34500,$175576,-22.89186257,,,High Income,Red
Volkswagen,Beetle,37,1,37913.83784,-3,$180002,$175352,-55.88695517,2,2,Low Income,Red
Mitsubishi,Galant,36,1,38865.52778,-37,$277401,$174895,-63.49532355,5,3,High Income,Pale White
Pontiac,Grand Prix,33,1,38833.57576,-55,$391304,$174751,-12.18586841,4,2,High Income,Pale White
Mercedes-B,M-Class,33,1,36768.45455,-38,$281353,$173337,-0.553636791,5,3,High Income,Pale White
Subaru,Outback,47,1,29479.2766,-47,$326503,$173191,-49.35994901,10,5,Low Income,Pale White
Saturn,SC,19,1,45553,29,$134003,$173101,-11.23025641,3,4,Low Income,Pale White
Pontiac,Grand Prix,33,1,41766.90909,-30,$245801,$172289,6.845891473,5,4,Low Income,Red
Mercury,Grand Marquis,55,1.018518519,25509.62963,-14,$200002,$172190,-20.56044585,8,7,Low Income,Pale White
Oldsmobile,Bravada,49,1.020833333,27481.45833,62,$106500,$172058,64.33114936,4,6,High Income,Black
Buick,Park Avenue,32,1,41084.71875,-4,$177804,$171484,-52.87658284,3,3,High Income,Black
Acura,Integra,29,1.074074074,48379.85185,-46,$315002,$170381,-36.89639336,5,3,Low Income,Black
Mercury,Cougar,43,1,31642.13953,-44,$302304,$170077,27.87648213,7,4,High Income,Black
Honda,Accord,70,1.060606061,20608.30303,-46,$314134,$170019,47.83875203,8,4,Low Income,Pale White
Dodge,Viper,44,1,30886.70455,-50,$338504,$169877,-63.23056411,10,5,Low Income,Pale White
Chrysler,300M,50,1,26040.24,31,$130001,$169828,-6.943561644,1,1,Low Income,Black
Plymouth,Voyager,12,1,75141.91667,-44,$300800,$169069,-24.85822222,3,2,High Income,Black
Mercury,Grand Marquis,19,1,71052.36842,19,$142000,$168749,,2,2,Low Income,Red
Dodge,Viper,38,1.055555556,34268.30556,0,$167601,$168226,-49.57284429,2,2,High Income,Red
Acura,TL,52,1.019607843,26378.68627,-37,$268003,$168164,-41.20201536,9,6,Low Income,Black
Mercury,Grand Marquis,61,1.016666667,22381.23333,-30,$241111,$167859,76.68810459,7,5,Low Income,Black
Saab,Aero,53,1.019230769,24672.26923,-26,$225002,$167342,-13.29474977,8,6,Low Income,Black
BMW,323i,67,1.046875,20859.64063,-28,$231004,$166877,-20.53551871,10,7,Low Income,Red
Acura,TL,50,1.111111111,28328.02222,-41,$280602,$166273,-19.90819015,3,2,High Income,Black
Mitsubishi,3000GT,65,1,20360.36923,-25,$221003,$165428,-28.66623258,9,7,Low Income,Pale White
Ford,Expedition,56,1.018181818,24042.10909,-57,$388607,$165290,-35.48399688,12,5,High Income,Black
Mitsubishi,Diamante,66,1.047619048,20957.38095,36,$121200,$165039,-27.00748328,4,5,High Income,Pale White
Chevrolet,Prizm,55,1.057692308,24280.98077,-42,$285001,$164688,30.44180778,10,6,High Income,Black
Infiniti,I30,35,1.060606061,36530.39394,-10,$183000,$164387,-13.02275132,4,4,Low Income,Pale White
Lincoln,Continental,43,1.023809524,30928.40476,-27,$222603,$162374,-13.94258033,5,4,High Income,Black
Dodge,Ram Wagon,54,1,22046.59259,-39,$264002,$162343,47.58052053,8,5,Low Income,Black
BMW,528i,47,1.02173913,25810,-4,$168300,$161899,-45.95349769,5,5,High Income,Black
Dodge,Durango,54,1,23963.2037,-32,$238005,$161752,18.49789747,7,5,Low Income,Pale White
Buick,Regal,30,1,43089.23333,-8,$176001,$161585,-39.311254,3,3,High Income,Pale White
Honda,Passport,47,1.044444444,23889.11111,-43,$282001,$161252,21.24119368,7,4,Low Income,Pale White
Plymouth,Prowler,44,1,29182.11364,36,$118003,$160502,19.77582424,4,5,Low Income,Pale White
Mercedes-B,SLK230,3,1,71000.33333,,,$159751,-25.00058685,,,Medium Income,Red
Nissan,Frontier,1,1,53001,,,$159003,,,,Medium Income,Black
Mercedes-B,M-Class,34,1.03030303,36909.36364,-40,$264002,$158871,93.74275923,6,4,Low Income,Pale White
Mercedes-B,SLK,2,1,26440.5,,,$158643,0,,,Medium Income,Black
Acura,RL,61,1.051724138,21864,-54,$342004,$158514,55.40435878,10,5,Low Income,Black
Pontiac,Firebird,27,1,43037.33333,-39,$258503,$158456,-38.58342183,3,2,Low Income,Black
Mercedes-B,SL-Class,52,1.019607843,24755.13725,-37,$250003,$157814,-30.0172059,8,5,Low Income,Pale White
Ford,Mustang,33,1.03125,34078.46875,-10,$174001,$155787,-68.9981055,5,4,Low Income,Red
Subaru,Forester,56,1.018181818,22577.52727,-13,$177702,$155221,-22.07859359,3,3,High Income,Black
Pontiac,Grand Am,62,1,20008.29032,-32,$227004,$155064,-28.21210817,9,6,Low Income,Pale White
Toyota,Camry,39,1.026315789,32389.84211,-37,$243303,$153852,-41.39016084,8,5,High Income,Black
Jaguar,S-Type,47,1.02173913,25636.15217,-18,$188004,$153817,-29.1988106,4,3,Low Income,Pale White
Chevrolet,Metro,38,1.055555556,32750.36111,-45,$279504,$153784,-0.785156225,7,4,Low Income,Black
Plymouth,Neon,45,1,26133.66667,-40,$255500,$153393,48.92379686,7,4,Low Income,Pale White
Saturn,LW,73,1.042857143,17528.78571,-26,$206506,$153377,-23.69341446,9,7,Low Income,Pale White
Toyota,Camry,37,1.027777778,32597.44444,32,$116000,$153066,-41.57875452,3,4,Low Income,Black
Saturn,SC,34,1.03030303,34000.24242,-7,$165003,$153001,-38.18191368,3,3,Low Income,Black
Buick,Regal,27,1,45204,-16,$181001,$152564,-55.77893526,3,3,Low Income,Pale White
Volvo,S40,42,1,27837.19048,45,$105500,$152499,-36.93332672,2,3,High Income,Pale White
Chevrolet,Malibu,16,1,60047.1875,,,$151698,-38.52158055,,,High Income,Red
Volvo,S40,40,1,29062.65,-54,$330502,$151631,-3.726349206,8,4,Low Income,Black
Cadillac,Seville,25,1.041666667,45998.33333,-32,$220504,$150540,-62.20019284,3,2,High Income,Black
Lincoln,Continental,14,1,82103.71429,-9,$164950,$149929,-39.05325203,2,2,High Income,Red
Cadillac,DeVille,26,1,40077.26923,-34,$226002,$148858,-9.784670582,5,3,Low Income,Red
Mitsubishi,Diamante,61,1.051724138,20400.24138,-51,$304204,$147902,-8.70472334,10,5,Low Income,Pale White
Saab,Aero,15,1,69000.13333,-46,$276001,$147857,-52.38099839,2,1,Low Income,Red
Ford,Focus,21,1,49264.52381,-40,$246301,$147794,-59.98028719,4,2,High Income,Black
Mercedes-B,E-Class,40,1.052631579,29684.36842,-50,$293001,$147131,36.23240741,8,4,Low Income,Pale White
Plymouth,Neon,44,1,25627.02273,43,$103100,$147077,22.30732129,2,3,High Income,Pale White
Saturn,LW,1,1,49000,200,$49000,$147000,,1,3,Medium Income,Red
Toyota,Sienna,57,1.036363636,20482.01818,-16,$175001,$146936,-12.53809524,7,6,Low Income,Black
Oldsmobile,Aurora,30,1.034482759,37111.65517,-35,$224401,$146760,-17.35648883,5,3,High Income,Red
Ford,Crown Victoria,50,1.063829787,24920.40426,-25,$196000,$146407,-24.33824973,6,4,Low Income,Pale White
Audi,A6,54,1.058823529,22887.45098,-13,$167901,$145908,-17.89175136,7,6,High Income,Pale White
Mitsubishi,3000GT,51,1.02,20382.26,-53,$307104,$145588,-16.11468345,11,5,High Income,Pale White
Saturn,SC,35,1.029411765,34188.38235,-12,$165500,$145301,-27.38653287,3,3,High Income,Black
Dodge,Durango,55,1.018518519,21427.12963,-15,$169250,$144633,-11.27027558,6,5,High Income,Black
Plymouth,Prowler,23,1.045454545,52454.63636,381,$30000,$144250,-57.82163743,1,5,Low Income,Red
Saturn,LS,2,1,24000,,,$144000,,,,Medium Income,Red
Chevrolet,Camaro,14,1,41100.42857,-13,$165101,$143852,,3,3,High Income,Black
Honda,Civic,30,1,35033.56667,-13,$165000,$143319,19.43150474,4,3,Low Income,Pale White
Mitsubishi,Montero Sport,34,1,33720.85294,48,$97001,$143314,-13.1440831,2,3,Low Income,Red
Acura,RL,49,1.042553191,24388.59574,-57,$329853,$143283,-39.48073122,11,5,High Income,Pale White
Mercury,Grand Marquis,16,1,71172.1875,100,$71000,$142344,-77.72394366,1,2,High Income,Red
Honda,Odyssey,28,1,40636,4,$136801,$142226,-34.15554414,4,4,High Income,Pale White
Toyota,RAV4,47,1,24144.91489,22,$115902,$141851,-33.65278928,2,2,High Income,Pale White
Mercedes-B,SLK230,41,1.025,27187.775,-41,$240504,$141849,125.1499952,9,5,Low Income,Pale White
Lincoln,Continental,19,1,54268.63158,-33,$211003,$140605,-48.49652565,4,3,High Income,Pale White
Cadillac,Eldorado,16,1,58500.125,65,$85001,$140400,-52.96482412,,,Medium Income,Black
Oldsmobile,Aurora,20,1,39750.2,18,$119001,$140295,-29.85320147,3,4,Low Income,Pale White
Porsche,Carrera Coupe,48,1.021276596,23840.61702,-47,$266502,$140064,22.86315789,7,4,Low Income,Pale White
Mercedes-B,SL-Class,27,1.038461538,39480.96154,-39,$228001,$139978,-18.14247787,6,4,Low Income,Black
Saab,Aero,48,1.021276596,23779.08511,-10,$154402,$139702,46.28328499,7,6,High Income,Black
Lincoln,Continental,13,1,82038.46154,-43,$246000,$139109,,3,2,Low Income,Red
Chevrolet,Corvette,18,1,43389.22222,,,$137825,-57.36272235,,,Low Income,Red
Subaru,Outback,37,1.088235294,32428.20588,-65,$396553,$137820,-55.20277715,6,2,High Income,Pale White
Chevrolet,Cavalier,56,1.037037037,20414.7963,-44,$244350,$137800,-40.84338953,9,5,High Income,Pale White
Plymouth,Prowler,24,1.043478261,43622,-13,$157500,$136814,6.057364341,3,3,High Income,Red
Mercury,Grand Marquis,47,1,21333.21277,9,$126001,$136727,18.83930744,2,2,High Income,Black
Nissan,Maxima,32,1,32515.90625,4,$130501,$135719,-54.76063493,3,3,Low Income,Pale White
Chevrolet,Camaro,24,1,41010.70833,227,$41001,$134217,8.787841945,,,Low Income,Black
Ford,Taurus,15,1,56566.8,-40,$224001,$133974,-75.32720814,,,Medium Income,Black
Saturn,SC,24,1,42635.79167,-56,$305253,$133469,-54.36988465,5,2,Low Income,Red
Pontiac,Sunfire,26,1,35603.38462,-33,$198381,$132241,15.49331447,4,3,High Income,Pale White
Audi,A8,1,1,44001,,,$132003,,,,Medium Income,Black
Saturn,LW,55,1.018518519,19467.77778,-20,$165153,$131408,-11.0605753,6,5,High Income,Pale White
Volvo,S40,32,1,32828.375,-34,$198402,$131314,33.99387755,6,4,High Income,Black
Chrysler,300M,51,1.040816327,20520.65306,-25,$176002,$131154,0.499609201,7,5,Low Income,Pale White
Oldsmobile,Silhouette,38,1.027027027,25792.16216,-31,$189502,$130133,-23.36191564,3,2,High Income,Red
Volvo,S70,37,1.027777778,25301.05556,3,$126831,$130120,-34.94097589,4,4,Low Income,Black
Chevrolet,Prizm,49,1,20357.34694,-3,$134502,$130110,-38.48285123,6,6,Low Income,Red
Saab,Aero,10,1,69130.5,-62,$345603,$129620,,5,2,High Income,Pale White
Buick,Regal,1,1,43000,,,$129000,,,,Medium Income,Red
Infiniti,I30,27,1,36555.81481,-34,$196002,$128740,14.94437599,4,3,Low Income,Black
Ford,Mustang,33,1.03125,30728.03125,83,$70101,$128256,-39.11185803,2,4,High Income,Pale White
Porsche,Carrera Cabrio,38,1,26987.05263,42,$90501,$128189,28.18771812,4,6,Low Income,Pale White
Plymouth,Breeze,38,1.117647059,27559.08824,-17,$154001,$127774,2.62724593,4,3,Low Income,Pale White
Buick,Park Avenue,26,1,37644.57692,-61,$325004,$127664,-39.78141613,5,2,Low Income,Black
Subaru,Forester,44,1,23091.11364,-27,$173002,$127001,-39.95309759,8,6,Low Income,Red
Volkswagen,Beetle,28,1,34750.17857,-6,$135001,$126914,-1.619342186,2,2,Low Income,Pale White
Porsche,Carrera Cabrio,36,1,28161.36111,-24,$166501,$126726,3.027593047,3,2,High Income,Pale White
Cadillac,Seville,22,1,44045.68182,44,$88001,$126392,-4.249935607,2,3,Low Income,Black
Ford,Mustang,32,1,30265.90625,-45,$229501,$126327,-43.35137511,5,3,Low Income,Pale White
Saab,Aero,14,1,69163,83,$69000,$126298,-38.98647343,1,2,High Income,Red
Mitsubishi,Eclipse,32,1.032258065,27097,-39,$206000,$126001,59.49291781,7,4,Low Income,Black
Lexus,LX470,25,1,38508.16,16,$108100,$125570,109.2763575,1,1,High Income,Pale White
Nissan,Pathfinder,47,1.02173913,21711.04348,71,$73001,$124839,-39.69188703,3,5,Low Income,Red
Lincoln,Town car,46,1.022222222,21249.2,-14,$145004,$124724,107.8664045,4,3,Low Income,Black
Nissan,Frontier,18,1,53100.33333,134,$53200,$124670,-21.59218123,1,2,High Income,Black
Dodge,Ram Pickup,23,1,43319.78261,6,$117401,$124544,-64.74358249,3,3,High Income,Red
Nissan,Frontier,54,1.018867925,18717.13208,-19,$153001,$124001,-56.53708513,5,4,High Income,Pale White
Pontiac,Firebird,22,1,43172.86364,-4,$129000,$123887,-4.520161539,2,2,High Income,Black
Toyota,RAV4,19,1.055555556,55050.38889,46,$85000,$123863,,1,1,High Income,Black
Volvo,S70,34,1,25485.55882,-3,$128002,$123787,34.18354074,2,2,Low Income,Pale White
Oldsmobile,Cutlass,32,1.032258065,30600.19355,-51,$250100,$123731,-8.349444086,7,3,Low Income,Red
Toyota,RAV4,38,1.027027027,24500.27027,-25,$164001,$123615,-1.503561696,4,3,Low Income,Pale White
Chevrolet,Metro,63,1.016129032,15934.09677,-23,$159703,$123489,-8.8655518,7,5,High Income,Pale White
Oldsmobile,Aurora,22,1,43004.72727,263,$34000,$123405,-22.01895735,1,4,High Income,Pale White
Volvo,C70,29,1,34041.62069,3,$120201,$123401,28.20616714,4,4,Low Income,Pale White
Saab,SportCombi,1,1,41000,,,$123000,,,,Medium Income,Black
Jaguar,S-Type,26,1.04,34360.28,-7,$132500,$122715,-38.02366631,4,4,Low Income,Red
Volkswagen,Beetle,27,1,36335.44444,9,$112000,$122632,-54.83167587,1,1,High Income,Red
Pontiac,Grand Am,44,1,20437.75,-15,$144452,$122627,9.292252297,7,6,High Income,Pale White
Dodge,Stratus,32,1.032258065,31645.3871,-21,$155502,$122626,-57.75203013,5,4,Low Income,Red
Volvo,V70,23,1,39022.08696,5,$117002,$122387,3.280168776,2,2,Low Income,Black
